============================================================
当前配置
============================================================
环境: CartPole-v1
种群大小: 50
训练代数: 100
变异率: 0.15
交叉率: 0.8
精英比例: 0.1
神经网络结构: 输入 → 16 → 16 → 输出
每集最大步数: 500
============================================================

开始时间: 2025-11-28 20:13:58
视频保存频率: 每 999999 代

初始化环境...
✓ 成功加载 CartPole-v1
观察空间: 4维, 动作空间: 2维 (离散)

网络参数数量: 386

使用标准遗传算法（固定高变异率：0.15）
============================================================
开始训练（无实时渲染，速度更快）
============================================================


[Gen 1/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... NEW RECORD! Best: 11.00, Mean: 9.42, Std: 0.75 | Recording video... /opt/anaconda3/envs/ga-humanoid/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
OK (terrain seed=819030, reward: 11.0, steps: 11) | Time: 1.4s
[Gen 29/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 144.88, Std: 192.30 | Time: 0.1s

[Gen 30/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 164.80, Std: 179.30 | Time: 0.1s

[Gen 31/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 149.72, Std: 194.52 | Time: 0.1s

[Gen 32/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 164.88, Std: 192.13 | Time: 0.1s

[Gen 33/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 164.24, Std: 206.33 | Time: 0.1s

[Gen 34/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 91.62, Std: 159.24 | Time: 0.1s

[Gen 35/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 115.50, Std: 158.87 | Time: 0.1s

[Gen 36/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 111.62, Std: 166.58 | Time: 0.1s

[Gen 37/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 142.56, Std: 188.17 | Time: 0.1s

[Gen 38/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 129.64, Std: 176.17 | Time: 0.1s

[Gen 39/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 179.56, Std: 189.91 | Time: 0.1s

[Gen 40/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 117.98, Std: 173.40 | Time: 0.1s

[Gen 41/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 183.08, Std: 190.37 | Time: 0.1s

[Gen 42/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 171.90, Std: 196.67 | Time: 0.1s

[Gen 43/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 179.38, Std: 196.82 | Time: 0.1s

[Gen 44/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 181.58, Std: 210.62 | Time: 0.1s

[Gen 45/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 201.40, Std: 203.14 | Time: 0.1s

