============================================================
当前配置
============================================================
环境: BipedalWalker-v3
种群大小: 50
训练代数: 100
变异率: 0.2
交叉率: 0.7
精英比例: 0.04
神经网络结构: 输入 → 16 → 16 → 输出
每集最大步数: 500
============================================================

开始时间: 2025-11-28 19:10:03
视频保存频率: 每 999999 代

初始化环境...
/opt/anaconda3/envs/ga-humanoid/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
✓ 成功加载 BipedalWalker-v3
观察空间: 24维, 动作空间: 4维

网络参数数量: 740

使用标准遗传算法（固定高变异率：0.2）
============================================================
开始训练（无实时渲染，速度更快）
============================================================


[Gen 31/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.46, Mean: -69.86, Std: 40.39 | Time: 2.2s

[Gen 32/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.78, Mean: -76.25, Std: 39.57 | Time: 2.0s

[Gen 33/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.70, Mean: -87.60, Std: 39.35 | Time: 1.7s

[Gen 34/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.86, Mean: -87.45, Std: 40.61 | Time: 1.6s

[Gen 35/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.06, Mean: -80.26, Std: 40.14 | Time: 1.9s

[Gen 36/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.90, Mean: -84.02, Std: 39.78 | Time: 1.6s

[Gen 37/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.63, Mean: -81.82, Std: 40.17 | Time: 1.8s

[Gen 38/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.64, Mean: -86.50, Std: 40.06 | Time: 1.7s

[Gen 39/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.56, Mean: -90.76, Std: 37.37 | Time: 1.7s

[Gen 40/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.15, Mean: -93.92, Std: 37.13 | Time: 1.5s

[Gen 41/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.11, Mean: -79.38, Std: 37.33 | Time: 1.8s

[Gen 42/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.96, Mean: -83.05, Std: 36.43 | Time: 1.7s

[Gen 43/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.61, Mean: -80.61, Std: 40.32 | Time: 2.0s

[Gen 44/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.09, Mean: -77.58, Std: 39.64 | Time: 2.0s

[Gen 45/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.09, Mean: -70.62, Std: 38.84 | Time: 2.2s

[Gen 46/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.63, Mean: -86.56, Std: 37.27 | Time: 1.6s

[Gen 47/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.33, Mean: -81.64, Std: 38.74 | Time: 1.7s

[Gen 48/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.04, Mean: -87.93, Std: 36.97 | Time: 1.7s

[Gen 49/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.96, Mean: -81.62, Std: 41.71 | Time: 2.1s

[Gen 50/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.55, Mean: -93.28, Std: 32.22 | Time: 1.3s

[Gen 51/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.35, Mean: -77.07, Std: 41.65 | Time: 2.3s

[Gen 52/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.97, Mean: -76.26, Std: 35.63 | Time: 2.2s

[Gen 53/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.42, Mean: -80.50, Std: 36.57 | Time: 1.9s

[Gen 54/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.01, Mean: -89.08, Std: 31.47 | Time: 1.5s

[Gen 55/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.56, Mean: -98.63, Std: 31.04 | Time: 1.2s

[Gen 56/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.50, Mean: -84.32, Std: 38.85 | Time: 1.7s

[Gen 57/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.30, Mean: -89.76, Std: 36.40 | Time: 1.5s

[Gen 58/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.40, Mean: -82.46, Std: 38.05 | Time: 1.7s

[Gen 59/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.31, Mean: -85.11, Std: 38.57 | Time: 1.7s

[Gen 60/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.59, Mean: -85.15, Std: 37.09 | Time: 1.6s

[Gen 61/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.56, Mean: -87.64, Std: 36.17 | Time: 1.6s

[Gen 62/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.68, Mean: -82.20, Std: 38.07 | Time: 1.9s

[Gen 63/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.56, Mean: -87.35, Std: 38.42 | Time: 1.6s

[Gen 64/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.73, Mean: -87.81, Std: 39.40 | Time: 1.8s

[Gen 65/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 4.14, Mean: -85.36, Std: 38.70 | Time: 1.6s

[Gen 66/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.91, Mean: -101.50, Std: 32.44 | Time: 1.1s

[Gen 67/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.29, Mean: -90.36, Std: 37.47 | Time: 1.6s

[Gen 68/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.42, Mean: -87.23, Std: 37.10 | Time: 1.7s

[Gen 69/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.73, Mean: -81.81, Std: 40.60 | Time: 1.9s

[Gen 70/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.65, Mean: -89.92, Std: 38.60 | Time: 1.7s

[Gen 71/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.40, Mean: -90.98, Std: 36.21 | Time: 1.5s

[Gen 72/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.65, Mean: -81.99, Std: 35.75 | Time: 1.8s

[Gen 73/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.68, Mean: -86.60, Std: 36.41 | Time: 1.6s

[Gen 74/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.58, Mean: -77.21, Std: 41.42 | Time: 1.8s

[Gen 75/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... NEW RECORD! Best: 16.74, Mean: -77.84, Std: 44.81 | Recording video... OK (terrain seed=990431, reward: 15.2, steps: 500) | Time: 5.2s

[Gen 76/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 8.96, Mean: -71.91, Std: 42.50 | Time: 2.4s

[Gen 77/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.80, Mean: -83.17, Std: 38.64 | Time: 1.8s

[Gen 78/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.89, Mean: -79.16, Std: 39.16 | Time: 1.9s

[Gen 79/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.01, Mean: -84.70, Std: 39.77 | Time: 1.8s

[Gen 80/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.77, Mean: -80.20, Std: 38.91 | Time: 1.9s

[Gen 81/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.62, Mean: -78.12, Std: 35.98 | Time: 1.9s

